Target_gene,UniProt,Protein,Toxins_implicating_target,Drug,Approval_year,Action_type
KDR,P35968,VEGFR2 (KDR),dieldrin,Ramucirumab,2014,INHIBITOR
KDR,P35968,VEGFR2 (KDR),dieldrin,Regorafenib,2012,INHIBITOR
KDR,P35968,VEGFR2 (KDR),dieldrin,Sorafenib,2005,INHIBITOR
KDR,P35968,VEGFR2 (KDR),dieldrin,Sunitinib,2006,INHIBITOR
KDR,P35968,VEGFR2 (KDR),dieldrin,Tivozanib,2017,INHIBITOR
KDR,P35968,VEGFR2 (KDR),dieldrin,Vandetanib,2011,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Iproniazid,NULL,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Isocarboxazid,1959,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Mebanazine,NULL,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Minaprine,NULL,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Moclobemide,1990,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Nialamide,NULL,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Pargyline,1982,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Phenelzine,1961,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Phenoxypropazine,NULL,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Proxibarbal,NULL,ACTIVATOR
MAOA,P21397,Monoamine oxidase A,mptp,Toloxatone,1984,INHIBITOR
MAOA,P21397,Monoamine oxidase A,mptp,Tranylcypromine,1961,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Iproniazid,NULL,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Isocarboxazid,1959,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Mebanazine,NULL,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Nialamide,NULL,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Pargyline,1982,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Phenelzine,1961,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Phenoxypropazine,NULL,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Rasagiline,2005,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Safinamide,2015,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Selegiline,1989,INHIBITOR
MAOB,P27338,Monoamine oxidase B,mptp,Tranylcypromine,1961,INHIBITOR
PPARGC1B,Q86YN6,PGC-1beta,tetrachloroethylene,(no approved direct-MoA drug)
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Amphetamine,1955,RELEASING AGENT
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Armodafinil,2007,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Bupropion,1985,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Dexmethylphenidate,2001,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Dextroamphetamine,1955,RELEASING AGENT
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Diethylpropion,1959,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Lisdexamfetamine,2007,RELEASING AGENT
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Mazindol,1973,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Methamphetamine,1943,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Methylphenidate,1955,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Modafinil,1998,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Nomifensine,1984,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Phendimetrazine,1976,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Phenmetrazine,1982,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Pyrovalerone,NULL,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Serdexmethylphenidate,2021,INHIBITOR
SLC6A3,Q01959,Dopamine transporter (DAT),mptp,Sibutramine,1997,INHIBITOR
SNCA,P37840,Alpha-synuclein,mptp; rotenone,(no approved direct-MoA drug)
SOD1,P00441,Superoxide dismutase 1 (Cu-Zn),chlorpyrifos; lead; manganese; mercury; paraquat; rotenone,(no approved direct-MoA drug)
SOD2,P04179,Superoxide dismutase 2 (Mn),manganese; paraquat,(no approved direct-MoA drug)
TCEA1,P23193,Transcription elongation factor A1,tetrachloroethylene; trichloroethylene,(no approved direct-MoA drug)
TH,P07101,Tyrosine hydroxylase,mptp; rotenone,Metyrosine,1979,INHIBITOR
TNF,P01375,Tumor necrosis factor,mptp; paraquat; rotenone; trichloroethylene,Adalimumab,2002,INHIBITOR
TNF,P01375,Tumor necrosis factor,mptp; paraquat; rotenone; trichloroethylene,Certolizumab,2008,INHIBITOR
TNF,P01375,Tumor necrosis factor,mptp; paraquat; rotenone; trichloroethylene,Etanercept,1998,INHIBITOR
TNF,P01375,Tumor necrosis factor,mptp; paraquat; rotenone; trichloroethylene,Golimumab,2009,INHIBITOR
TNF,P01375,Tumor necrosis factor,mptp; paraquat; rotenone; trichloroethylene,Infliximab,1998,INHIBITOR
