Target,Toxins,Drug,Approval_yr,Action,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01125683,https://clinicaltrials.gov/study/NCT01125683,Phase 2,Terminated,secondary,PK,To measure the relationship between plasma concentration of AZD1446/donepezil and qEEG and ERP.,Information on these will be collected f,Alzheimer´s Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01260922,https://clinicaltrials.gov/study/NCT01260922,Phase 1,Completed,primary,PK,Cmax of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01260922,https://clinicaltrials.gov/study/NCT01260922,Phase 1,Completed,primary,PK,AUC0-t of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01260948,https://clinicaltrials.gov/study/NCT01260948,Phase 1,Completed,primary,PK,Cmax of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01260948,https://clinicaltrials.gov/study/NCT01260948,Phase 1,Completed,primary,PK,AUC0-t of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01297036,https://clinicaltrials.gov/study/NCT01297036,Phase 1,Completed,primary,PK,donepezil pharmacokinetics: peak plasma concentrations (Cmax),240 hours,Alzheimer Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01297036,https://clinicaltrials.gov/study/NCT01297036,Phase 1,Completed,primary,PK,donepezil pharmacokinetics: Area under the time vs. plasma concentration curve from 0 to 240 hr(AUCall),240 hours,Alzheimer Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01297036,https://clinicaltrials.gov/study/NCT01297036,Phase 1,Completed,primary,PK,donepezil pharmacokinetics: Area under the time vs. plasma concentration curve from 0 to infinity(AUCinf),240 hours,Alzheimer Disease,Yes
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01419340,https://clinicaltrials.gov/study/NCT01419340,Phase 1,Completed,primary,PK,bioequivalence based on Composite of Pharmacokinetics,,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01419366,https://clinicaltrials.gov/study/NCT01419366,Phase 1,Completed,primary,PK,Bioequivalence based on Composite of Pharmacokinetics,,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01439230,https://clinicaltrials.gov/study/NCT01439230,Phase 1,Completed,primary,PK,Cmax of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01439230,https://clinicaltrials.gov/study/NCT01439230,Phase 1,Completed,primary,PK,AUC0-72 of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01439243,https://clinicaltrials.gov/study/NCT01439243,Phase 1,Completed,primary,PK,Cmax of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01439243,https://clinicaltrials.gov/study/NCT01439243,Phase 1,Completed,primary,PK,AUC0-72 of Donepezil.,Blood samples collected over a 72 hour p,Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01504503,https://clinicaltrials.gov/study/NCT01504503,Phase 1,Completed,primary,PK,Area unde curve (AUC),"Pre-dose 0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01504516,https://clinicaltrials.gov/study/NCT01504516,Phase 1,Completed,primary,PK,Area under curve (AUC),"Pre-dose 0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.",Healthy,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01506739,https://clinicaltrials.gov/study/NCT01506739,Phase 1,Completed,primary,PK,"PK Parameter Cmax, calculated from plasma E2020 concentration by a non-compartmental analysis, will be evaluated.",Up to 168 hrs after administration,Healthy Adult,No
ACHE,chlorpyrifos; dieldrin,Donepezil,1996,INHIBITOR,NCT01506739,https://clinicaltrials.gov/study/NCT01506739,Phase 1,Completed,primary,PK,"PK Parameter AUC (0-168), calculated from plasma E2020 concentration by a non-compartmental analysis, will be evaluated.",Up to 168 hrs after administration,Healthy Adult,No
