Target,Drug,NCT_ID,URL,Phase,Status,Outcome_type,Biomarker_category,Measure,Time_frame,Conditions,PD_neuro
BCHE,Rivastigmine,NCT00104442,https://clinicaltrials.gov/study/NCT00104442,Phase 4,Completed,secondary,other_biomarker,Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13,,Alzheimer's Disease,Yes
DDC,Carbidopa,NCT00200447,https://clinicaltrials.gov/study/NCT00200447,Phase 2,Completed,secondary,PK,"Secondary Measures include: Putamen and caudate uptake over time, UPDRS scores, and Pharmacokinetic analysis.",6-8hrs,Parkinson's Disease,Yes
DDC,Carbidopa,NCT00601978,https://clinicaltrials.gov/study/NCT00601978,Phase 4,Withdrawn,secondary,PK,Pharmacokinetics at 9.25 and 12.55 hours post dose,,Parkinson's Disease,Yes
DDC,Carbidopa,NCT00693862,https://clinicaltrials.gov/study/NCT00693862,Phase 1,Completed,primary,PK,Pharmacokinetics,Blood samples collected frequently on da,Pharmacokinetics,No
DDC,Carbidopa,NCT00914602,https://clinicaltrials.gov/study/NCT00914602,Phase 1,Completed,primary,PK,to assess the pharmacokinetics of XP21279 sustained release formulation [administered with Lodosyn® (carbidopa)] and Sinemet® tablets in subjects with Parkinson's disease.,4 weeks,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01070628,https://clinicaltrials.gov/study/NCT01070628,Phase 1,Completed,primary,PK,"To demonstrate that reduced Stalevo strengths 75 mg and 125 mg following initial 100 mg and 150 mg strengths, will not increase Cmax of levodopa compared to Stalevo or levodopa/carbidopa dosing using equal strengths duri",2-11 weeks,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01070628,https://clinicaltrials.gov/study/NCT01070628,Phase 1,Completed,secondary,PK,"Cmin, AUCo-tau",each subject 3 PK days between 1-6 days,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01229332,https://clinicaltrials.gov/study/NCT01229332,Phase 1,Completed,secondary,PK,"Half life (t½ ), Cmax, Tmax and AUC of levodopa and carbidopa in the plasma",Up to 2 days,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01399905,https://clinicaltrials.gov/study/NCT01399905,Phase 2,Completed,primary,PK,Area Under the Curve (AUC) of Tapping Speed,Performed every 30 minutes from 8 AM to,Parkinson's Disease,Yes
DDC,Carbidopa,NCT01399905,https://clinicaltrials.gov/study/NCT01399905,Phase 2,Completed,secondary,PK,AUC of Levodopa Plasma Concentrations Above Baseline,Measured every 30 minutes from 9 AM unti,Parkinson's Disease,Yes
