Target,Biomarker_category,Biomarker_measure,N_trials,N_PDneuro_trials,Drugs
ADH1C,PK,Serial measurement of fomepizole serum concentration,1,0,Fomepizole
BCHE,PK,Bioequivalence based on Cmax and AUC parameters,2,0,Rivastigmine
BCHE,imaging,the mean changes of Standardized Uptake Values (SUVmean) in PET imaging,1,1,Rivastigmine
BCHE,fluid_molecular,"Cerebrospinal fluid(CSF) levels of AD markers (P-tau181, 217)",1,1,Rivastigmine
BCHE,fluid_molecular,"Concentration Changes from Baseline of Plasma Biomarkers (Aβ42/40, p - tau181, p - tau217, NfL and GFAP）",1,1,Rivastigmine
BCHE,PK,"4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition",1,0,Rivastigmine
BCHE,PK,Area Under the Plasma Concentration-Time Curve of RO4602522,1,1,Rivastigmine
BCHE,PK,AUC96-264,1,0,Rivastigmine
BCHE,PK,Changes in cocaine pharmacokinetics,1,0,Tacrine
BCHE,PK,"Cmax,96-264",1,0,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,Donepezil PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,EVP-6124 PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,Maximum Plasma Concentration of RO4602522,1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]),1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax),1,1,Rivastigmine
BCHE,PK,Rivastigmine PK Data Following the First Dose of EVP-6124 - Time to Maximum Concentration (Tmax),1,1,Rivastigmine
BCHE,PK,Total Area Under the Curve (AUC) 0-12 Hours,1,0,Rivastigmine
BCHE,other_biomarker,Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13,1,1,Rivastigmine
DDC,PK,Cmax,3,2,Carbidopa
DDC,PK,Area under the plasma concentration curve (AUC),2,0,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC0-t),2,0,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC0-∞),2,0,Carbidopa
DDC,PK,AUC0-t,2,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa,2,2,Carbidopa
DDC,PK,Maximum observed plasma drug concentration (Cmax),2,0,Carbidopa
DDC,PK,Peak Plasma Concentration (Cmax),2,0,Carbidopa
DDC,PK,Pharmacokinetics,2,1,Carbidopa
DDC,PK,Pharmacokinetics (Cmax) of levodopa,2,2,Carbidopa
DDC,imaging,[18F]-FDOPA PET Measure in Striatal Region of Interest,1,1,Carbidopa
DDC,imaging,The difference between the study drugs in change in striatal 11C-raclopride BP.Striatal 11C-raclopride BP will be determined with PET scans performed at baseline and from 2.5 to 3.5 h after the study drug administration.,1,1,Carbidopa
DDC,inflammation,Correlation Coefficient Between Change in Corticostriatal Connectivity and Levels of Plasma C-reactive Protein and Other Immune Markers,1,0,Carbidopa
DDC,PK,3-OMD Area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,3-OMD Peak Plasma Concentration (Cmax),1,1,Carbidopa
DDC,PK,Area under the concentration time curve over the dosing interval (AUC0-last),1,0,Carbidopa
DDC,PK,Area Under the Curve (AUC) of Change From Baseline in MDS-UPDRS Part III Scores,1,1,Carbidopa
DDC,PK,Area Under the Curve (AUC) of Tapping Speed,1,1,Carbidopa
DDC,PK,Area under the plasma concentration versus time curve (AUC),1,0,Carbidopa
DDC,PK,AUC,1,1,Carbidopa
DDC,PK,AUC of Levodopa Plasma Concentrations Above Baseline,1,1,Carbidopa
DDC,PK,"AUC0-12/Dose0-12, AUC0-16/Dose0-16 After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187",1,1,Carbidopa
DDC,PK,AUC0-2h for Carbidopa,1,1,Carbidopa
DDC,PK,AUC0-2hr for L-dopa,1,1,Carbidopa
DDC,PK,AUC0-5 - AUC Over 5 Hours,1,1,Carbidopa
DDC,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to to 6 h Postdose (AUC [0-6]),1,1,Carbidopa
DDC,PK,AUC0-6 - Area Under the Plasma Concentration-time Curve From Time 0 to 6 Hours Post-dose (Day 3),1,1,Carbidopa
DDC,PK,AUC0-inf,1,0,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration Versus Time Curve From Time Zero to the Time (t) Corresponding to the Last Quantifiable Concentration.,1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification.,1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Benserazide),1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification. (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,AUC0-t - Area Under the Plasma Concentration-time Curve to Last Measurable Time Point,1,1,Carbidopa
DDC,PK,AUC0-∞,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Concentration-time Curve From Time Zero up to Infinity With Extrapolation of the Terminal Phase,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity,1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Benserazide),1,1,Carbidopa
DDC,PK,AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) of Levodopa From Time Zero to Infinity (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,Carbidopa Area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,Carbidopa Peak Plasma Concentration (Cmax),1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration,1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration Day 3,1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Benserazide ),1,1,Carbidopa
DDC,PK,Cmax - Maximum Plasma Concentration of Levodopa (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,Cmax - Observed Maximum Concentration,1,1,Carbidopa
DDC,PK,Cmax and AUC(0-tz) of levodopa and carbidopa,1,0,Carbidopa
DDC,PK,Cmax of Carbidopa,1,1,Carbidopa
DDC,PK,Cmax of L-dopa,1,1,Carbidopa
DDC,PK,Cmax of the pharmacokinetics of WD-1603 extended-release formulations and carbidopa and levodopa tablets 25mg/100mg from the morning of day 1 to the morning of day 2.,1,1,Carbidopa
DDC,PK,"Cmin, AUCo-tau",1,1,Carbidopa
DDC,PK,Composite (or Profile) of Pharmacokinetics,1,0,Carbidopa
DDC,PK,"Fluctuation of Levodopa Cmax/Cmin, Tau",1,0,Carbidopa
DDC,PK,"Half life (t½ ), Cmax, Tmax and AUC of levodopa and carbidopa in the plasma",1,1,Carbidopa
DDC,PK,"LD Half life (t½ ), time of LD plasma concentrations maintained above 1000 ng/ml, trough levels, Cmax, Tmax and AUC",1,1,Carbidopa
DDC,PK,Levodopa and Carbidopa area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,Levodopa and Carbidopa peak plasma concentration (Cmax),1,1,Carbidopa
DDC,PK,Levodopa and Carbidopa time to maximum plasma concentration (Tmax),1,1,Carbidopa
DDC,PK,Levodopa Area Under the Concentration-time Curve From Time 0 to the 24 h PK Sample (AUC0-24) Time 0 to the 24 h PK Sample (AUC0-24),1,0,Carbidopa
DDC,PK,Levodopa Area under the plasma concentration versus time curve (AUC),1,1,Carbidopa
DDC,PK,"Levodopa Cmax, tau",1,1,Carbidopa
DDC,PK,Levodopa Peak Plasma Concentration (Cmax),1,0,Carbidopa
DDC,PK,"Levodopa Peak Plasma Concentration (Cmax) and fluctuation of levodopa Cmax/Cmin, tau",1,1,Carbidopa
DDC,PK,Levodopa Peak-trough fluctuation (PTF),1,1,Carbidopa
DDC,PK,Levodopa pharmacokinetics (LD PK),1,1,Carbidopa
DDC,PK,"Peak Plasma Concentration (Cmax), Average Plasma Concentration (Cavg), Trough Plasma Concentration (Cmin), and Cmin Within 2 and 12 Hours (Cmin [2-12 Hours]) After Administration of Oral L/C Tablets and Intra-jejunal Adm",1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of levodopa following administration of opicapone: area under the curve (AUC 0-tlast),1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of levodopa following administration of opicapone: maximum plasma concentration (cmax),1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of opicapone and its metabolites: area under the curve (AUC 0-24),1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of opicapone and its metabolites: area under the curve (AUC 0-tlast),1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of opicapone and its metabolites: Maximum plasma concentration (Cmax),1,1,Carbidopa
DDC,PK,Pharmacokinetic evaluation of opicapone and its metabolites: Time to maximum plasma concentration (tmax),1,1,Carbidopa
DDC,PK,"Pharmacokinetics (Cmax) of carbidopa, 3-OMD and ODM-104",1,1,Carbidopa
DDC,PK,Pharmacokinetics at 9.25 and 12.55 hours post dose,1,1,Carbidopa
DDC,PK,Profile of Pharmacokinetics,1,1,Carbidopa
DDC,PK,Ratio of Metabolite 3-OMD to Levodopa (M/P [AUC0-12]) After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187,1,1,Carbidopa
DDC,PK,"Secondary Measures include: Putamen and caudate uptake over time, UPDRS scores, and Pharmacokinetic analysis.",1,1,Carbidopa
DDC,PK,"The Area Under the Concentrations-time Curve From 0 to 12 and 0 to 16 Hours (AUC0-12, AUC0-16) After Administration of Oral L/C Tablets and Intra-jejunal Administration of ABT-SLV187",1,1,Carbidopa
DDC,PK,The duration (hours) for the levodopa concentrations ≥ 50% of Cmax between WD-1603 extended-release formulations and carbidopa and levodopa tablets following three times a day orally administration in healthy subjects.,1,1,Carbidopa
DDC,PK,Time to Reach Peak Plasma Concentration (Tmax) After Administration of Oral Levodopa/Carbidopa (L/C) Tablets and Intra-jejunal Administration of ABT-SLV187,1,1,Carbidopa
DDC,PK,Tmax - Time of Occurrence of Maximum Plasma Concentration,1,1,Carbidopa
DDC,PK,Tmax - Time to Maximum Plasma Concentration,1,1,Carbidopa
DDC,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa,1,1,Carbidopa
DDC,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa (Levodopa/Benserazide),1,1,Carbidopa
DDC,PK,Tmax - Time to Reach Maximum Plasma Concentration of Levodopa (Levodopa/Carbidopa),1,1,Carbidopa
DDC,PK,Tmax = Time to Cmax Day 3,1,1,Carbidopa
DDC,PK,to assess the pharmacokinetics of XP21279 sustained release formulation [administered with Lodosyn® (carbidopa)] and Sinemet® tablets in subjects with Parkinson's disease.,1,1,Carbidopa
DDC,PK,"To demonstrate that reduced Stalevo strengths 75 mg and 125 mg following initial 100 mg and 150 mg strengths, will not increase Cmax of levodopa compared to Stalevo or levodopa/carbidopa dosing using equal strengths duri",1,1,Carbidopa
DDC,PK,To evaluate Cmax,1,1,Carbidopa
DDC,PK,To evaluate the AUC,1,1,Carbidopa
DDC,PK,Total Levodopa and Carbidopa: area under the plasma concentration-time curve from 0 to time t (AUC0-t),1,0,Carbidopa
DDC,PK,Total Levodopa and Carbidopa: area under the plasma concentration-time curve from 0 to time t (AUC0-∞),1,0,Carbidopa
DDC,PK,Total Levodopa and Carbidopa: Maximum plasma concentration (Cmax),1,0,Carbidopa
DDC,PK,Total Levodopa and Carbidopa: Time to achieve maximum plasma concentration (tmax),1,0,Carbidopa
DDC,PK,Variability in plasma concentration of levodopa as assessed with the Levodopa Fluctuation Index (Cmax-Cmin)/Caverage),1,1,Carbidopa
DDC,PK,Variability in plasma concentration of levodopa as assessed with the Levodopa Fluctuation Index (Cmax-Cmin)/Caverage).,1,1,Carbidopa
DDC,other_biomarker,changes in serum biomarkers,1,1,Carbidopa
DDC,other_biomarker,The secondary endpoint is estimated by changes in serum biomarkers.,1,1,Carbidopa
DDC,other_biomarker,To determine the influence of short-term levodopa therapy on dopamine transporter density in early Parkinson's disease,1,1,Carbidopa
DDC,other_biomarker,To determine the influence of short-term treatment with cabergoline on dopamine transporter density in early Parkinson's disease,1,1,Carbidopa
DRD1,PK,Part 1: Plasma concentration of pimozide and clarithromycin associated with ΔΔQTc prolongation of 10 ms based on concentration-QTc analysis.,1,0,Pimozide
DRD1,PK,Part 1: The margin (ratio) between hERG IC50 and free plasma concentration causing 10 ms QTc prolongation.,1,0,Pimozide
DRD1,other_biomarker,Reduction of urinary and/or serum levels of biomarker NGAL in treated group versus controls,1,0,Fenoldopam
DRD2,PK,Cmax,15,2,Amisulpride; Aripiprazole; Asenapine; Cabergoline; Chlorpromazine; Clozapine; Loxapine; Metoclopramide; Olanzapine; Pramipexole; Promazine; Quetiapine; Risperidone; Rotigotine; Sulpiride
DRD2,PK,AUC0-inf (Area Under the Concentration-time Curve From Time Zero to Infinity),4,0,Pramipexole; Ropinirole
DRD2,PK,AUC0-t (Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration),4,0,Pramipexole; Ropinirole
DRD2,PK,Bioequivalence is based on Cmax and AUC parameters,4,0,Olanzapine
DRD2,PK,Bioequivalence is based on Cmax and AUC parameters.,4,0,Quetiapine; Risperidone
DRD2,PK,Cmax (Maximum Observed Concentration of Drug Substance in Plasma),4,0,Pramipexole; Ropinirole
DRD2,PK,Area under curve(AUC),3,0,Quetiapine; Ropinirole
DRD2,PK,AUC,3,0,Cariprazine; Metoclopramide; Quetiapine
DRD2,PK,AUC(0-tz) of Unconjugated Rotigotine,3,0,Rotigotine
DRD2,PK,bioequivalence determined by statistical comparison Cmax,3,0,Quetiapine
DRD2,PK,Cmax of Unconjugated Rotigotine,3,0,Rotigotine
DRD2,PK,Pharmacokinetics,3,0,Aripiprazole; Bromocriptine; Olanzapine
DRD2,PK,Area under curve (AUC),2,0,Ziprasidone
DRD2,PK,Area Under the Curve (0-t) (AUC(0-t)),2,0,Haloperidol
DRD2,PK,Area under the curve during the dosing interval (AUCtau),2,0,Risperidone
DRD2,PK,Area Under the Curve(0-∞) (AUC(0-∞)),2,0,Haloperidol
DRD2,PK,Area under the plasma concentration-time curve from zero up to the last analytically quantifiable concentration normalized by apparent dose (mg) (AUC(0-t) norm (apparent dose)),2,0,Rotigotine
DRD2,PK,Area under the plasma concentration-time curve from zero up to the last analytically quantifiable concentration normalized by body weight (kg) (AUC(0-t) norm (BW)),2,0,Rotigotine
DRD2,PK,AUC 0-tau,2,0,Aripiprazole; Asenapine
DRD2,PK,AUC from time zero to infinity (AUC∞) [Pharmacokinetics],2,0,Brexpiprazole
DRD2,PK,AUC(0-tz) Norm (Apparent Dose) of Unconjugated Rotigotine,2,0,Rotigotine
DRD2,PK,AUC(0-∞) of Unconjugated Rotigotine,2,0,Rotigotine
DRD2,PK,AUCinf,2,0,Pramipexole; Risperidone
DRD2,PK,Bioavailability based on Cmax and AUC parameters,2,0,Risperidone
DRD2,PK,Bioequivalence based on Cmax and AUC,2,0,Risperidone
DRD2,PK,bioequivalence based on Composite of Pharmacokinetics,2,0,Olanzapine
DRD2,PK,"Cmax,Norm (Apparent Dose) of Unconjugated Rotigotine",2,0,Rotigotine
DRD2,PK,"Cmax,Norm (BW) of Unconjugated Rotigotine",2,0,Rotigotine
DRD2,PK,Concentration Maximum (Cmax),2,0,Haloperidol
DRD2,PK,Lurasidone Cmax,2,0,Lurasidone
DRD2,PK,Maximum peak plasma concentration (Cmax) [Pharmacokinetics],2,0,Brexpiprazole
DRD2,PK,Maximum plasma concentration (Cmax),2,0,Aripiprazole
DRD2,PK,pharmacokinetic assessment,2,0,Aripiprazole; Quetiapine
DRD2,PK,Pharmacokinetic Parameters,2,0,Ropinirole
DRD2,PK,Pharmacokinetics: AUC0-tau,2,0,Lumateperone
DRD2,PK,Pharmacokinetics: Cmax,2,0,Lumateperone
DRD2,PK,Pharmacokinetics: Tmax,2,0,Lumateperone
DRD2,PK,"Terminal-phase elimination half-life (t1/2,z) [Pharmacokinetics]",2,0,Brexpiprazole
DRD2,PK,The peak concentration (Cmax) after the first administration,2,0,Brexpiprazole
DRD2,PK,Time of Cmax (tmax) [Pharmacokinetics],2,0,Brexpiprazole
DRD2,PK,Time to reach a maximum plasma concentration of unconjugated Rotigotine after patch application (tmax),2,0,Rotigotine
DRD2,imaging,Brain amyloid PET image,1,1,Bromocriptine
DRD2,imaging,Brain tau PET image,1,1,Bromocriptine
DRD2,imaging,Change in Brain Metabolism From Baseline to Eight Weeks as Seen in PET Scan,1,0,Olanzapine
DRD2,imaging,Feasibility of obtaining PET imaging scans before and after administration of psilocybin (25 mg) with and without risperidone (1 mg).,1,0,Risperidone
DRD2,imaging,Gastric emptying T 1/2 (gastric emptying scintigraphy (GES) imaging),1,0,Aripiprazole; Olanzapine; Quetiapine; Risperidone
DRD2,imaging,Gastric retention at 4 hr post-radiolabeled meal (gastric emptying scintigraphy (GES) imaging),1,0,Aripiprazole; Olanzapine; Quetiapine; Risperidone
DRD2,imaging,Gastric Retention by Scintigraphy,1,0,Metoclopramide
DRD2,imaging,"Obtain preliminary data on synaptic density (as measured by [18F] SynVesT-1 volume distribution, VT) in brain regions relevant to MDD (i.e., hippocampus, prefrontal cortex)",1,0,Risperidone
DRD2,imaging,Percentage Gastric Retention by Scintigraphy at 120 Minutes Postdose,1,0,Metoclopramide
DRD2,imaging,Percentage Gastric Retention by Scintigraphy at 60 Minutes Postdose,1,0,Metoclopramide
DRD2,imaging,Percentage of Gastric Retention by Scintigraphy at 240 Minutes Postdose,1,0,Metoclopramide
DRD2,fluid_molecular,Cerebrospinal fluid (CSF) Aβ concentration,1,1,Bromocriptine
DRD2,fluid_molecular,Cerebrospinal Fluid (CSF) Quetiapine and 7-N-desalkyquetiapine Concentrations,1,0,Quetiapine
DRD2,fluid_molecular,Change from Baseline to Week 24 in plasma Neurofilament light chain (NfL) and Aβ42 and p-tau concentrations to evaluate effects of rotigotine in combination with rivastigmine in combination with placebo on plasma biomark,1,1,Rotigotine
DRD2,fluid_molecular,"CSF Total Tau, CSF p-Tau concentration",1,1,Bromocriptine
DRD2,fluid_molecular,Neurofilament Analysis,1,0,Amisulpride; Bromocriptine
DRD2,fluid_molecular,Neuron Specific Enolase and Neurofilament Light Chain levels,1,0,Olanzapine
DRD2,inflammation,Biochemical response: C-reactive protein (CRP),1,0,Chlorpromazine; Promazine
DRD2,inflammation,C-reactive protein (CRP) concentration,1,0,Olanzapine
DRD2,inflammation,C-Reactive Protein at 12 Weeks,1,0,Quetiapine
DRD2,inflammation,change from baseline cytokine level at 35+/-3days,1,0,Rotigotine
DRD2,inflammation,Change from Baseline Level of CRP at 12 weeks,1,0,Brexpiprazole
DRD2,inflammation,Change from Baseline Level of CRP at 8 weeks,1,0,Brexpiprazole
DRD2,inflammation,Change in c-reactive protein,1,0,Risperidone
DRD2,inflammation,Change in c-reactive protein with switch from olanzapine to risperidone plus DMXB-A,1,0,Risperidone
DRD2,inflammation,"Collection and analysis of biological samples for genetic, cytokine and cortisol analysis",1,0,Quetiapine
DRD2,inflammation,"Evaluate the biological parameters to treatment response (biobank constitution for carrying out cytokine assays, lymphocyte profiles in flow cytometry and additional explorations according to the evolution of knowledge o",1,0,Chlorpromazine; Promazine
DRD2,inflammation,High Sensitivity C-Reactive Protein (Hs-CRP),1,0,Brexpiprazole
DRD2,inflammation,"IL-6, blood: biomarker of inflammation",1,0,Pramipexole
DRD2,inflammation,"IL-6, CSF: biomarker of inflammation",1,0,Pramipexole
DRD2,inflammation,Interleukin-6 (IL-6),1,0,Clozapine
DRD2,inflammation,Level of interleukin (IL)-6 and IL-8,1,0,Olanzapine
DRD2,inflammation,"plasma cytokines IL-2, IL-6 and TNF-α",1,0,Amisulpride; Clozapine
DRD2,inflammation,Pro-inflammatory and anti-inflammatory cytokines,1,0,Amisulpride; Bromocriptine
DRD2,genomic,Change of gene expression in blood,1,0,Amisulpride; Aripiprazole; Olanzapine
DRD2,genomic,Changes among genotypes in 24 h monitored Haloperidol and Risperidone pharmacokinetics,1,0,Haloperidol; Risperidone
DRD2,genomic,"Follicular fluid levels of VEGF, VEGFR-1 and VEGFR-2",1,0,Metoclopramide
DRD2,genomic,gene expression profiling,1,0,Olanzapine; Ziprasidone
DRD2,genomic,Measure of peripheral blood for gene expression and proteomic changes.,1,0,Amisulpride; Pramipexole
DRD2,genomic,"To document the disposition of the enantiomers of paliperidone, to explore the relationship between genotypes (CYP2D6, CYP3A4, CYP3A5, UGT1A1, and UGT1A6) and pharmacokinetic parameters, and to assess safety and tolerabi",1,0,Paliperidone
DRD2,PK,(1) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of AUC from time 0 to time t,1,0,Olanzapine
DRD2,PK,(2) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of Cmax,1,0,Olanzapine
DRD2,PK,(3) Bioavailability of test products compared to reference product based on pharmacokinetic parameter of AUC from time 0 to infinity,1,0,Olanzapine
DRD2,PK,"2. Area under the curve (AUC) for UPDRS Motor Scores at 0, 20, 40 and 90 minutes;",1,1,Apomorphine
DRD2,PK,9-hydroxyrisperidone PK: Accumulation Index Between Injections 1 and 3 In Terms of Area Under the Plasma Concentration Curve (Rac(AUC)),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Accumulation Index Between Injections 1 and 3 In Terms of Maximum Plasma Concentrations (Rac(Cmax)),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Day 2-29 Post Injection (AUC Day 2-29),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Time Zero to 24 Hours (AUC0-24),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Area Under the Plasma Concentration-Time Curve From Time Zero to Time Tau (Where Tau=28 Days) (AUCtau),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Average Plasma Concentration (Cavg) Over the PK Profile,1,0,Risperidone
DRD2,PK,"9-hydroxyrisperidone PK: Average Plasma Concentration Over the Secondary Peak (Cavg, Day 2-29)",1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Maximum Plasma Concentration (Cmax) During Initial Peak,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Maximum Plasma Concentration (Cmax) Over the PK Profile,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Maximum Plasma Concentration Over the Secondary Peak (Cmax),1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Minimum Plasma Concentration (Cmin) Over the PK Profile,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Minimum Plasma Concentration (Cmin) Over the Secondary Peak,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Percent Fluctuation Over the PK Profile,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Swing Over the PK Profile,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Time of Maximum Plasma Concentration (Tmax) During Initial Peak,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Time of the Maximum Plasma Concentration (Tmax) Over the PK Profile,1,0,Risperidone
DRD2,PK,9-hydroxyrisperidone PK: Time of the Maximum Plasma Concentration (Tmax) Over the Secondary Peak,1,0,Risperidone
DRD2,PK,"Accumulation Ratios Lurasidone,Ratio of Cmax,Ratio of AUC0-∞,Ratio of AUC0-τ,",1,0,Lurasidone
DRD2,PK,Apparent clearance of drug from plasma after extravascular administration (CL/F; brexpiprazole only) [Pharmacokinetics],1,0,Brexpiprazole
DRD2,PK,Apparent total clearance (Cl/F) and apparent volume of distribution (Vd) calculated according to the formulas Cl/F = Dose/AUC0-24 et Vd = Cl(T)/λz wherein F is the absolute bioavailability,1,1,Apomorphine
DRD2,PK,"Apparent Volume of Distribution During the Terminal Phase at Steady State Following Oral Administration (Vz/F,ss) for PK Population (All Subjects)",1,0,Pramipexole
DRD2,PK,"Apparent Volume of Distribution During the Terminal Phase at Steady State Following Oral Administration (Vz/F,ss) for PK Population (Excluding Subjects Due to Emesis)",1,0,Pramipexole
DRD2,PK,Area under concentration-time curve (AUC) calculated from time zero to time t (AUCt) [PK],1,0,Brexpiprazole
DRD2,PK,Area Under Concentration-Time Curve From Time Zero to the Last Quantifiable (AUC [0-last]),1,0,Risperidone
DRD2,PK,Area Under Curve (AUC),1,0,Amisulpride; Olanzapine; Quetiapine; Risperidone
DRD2,PK,Area Under Curve (AUC) of brexpiprazole in plasma after administration in a fed state versus administration in a fasting state,1,0,Brexpiprazole
DRD2,PK,Area Under Curve (AUC) of dexpramipexole,1,0,Pramipexole
DRD2,PK,Area under steady state plasma concentration-time curve (AUC)ss,1,0,Brexpiprazole
DRD2,PK,"Area under the blood concentration time curve (AUC) of [177Lu]Lu-PSMA-617, [177Lu]Lu-DOTA-TATE and [177Lu]Lu-NeoB",1,0,Metoclopramide
DRD2,PK,Area under the concentration-time curve (AUC) at steady-state concentration of LY03003,1,1,Rotigotine
DRD2,PK,"Area under the concentration-time curve (AUC) from time zero to time ""t"" (Last observable concentration; AUCt) [Pharmacokinetics]",1,0,Brexpiprazole
DRD2,PK,"Area under the concentration-time curve (AUC) from time zero to time ""t"" [Pharmacokinetics]",1,0,Brexpiprazole
DRD2,PK,Area under the concentration-time curve (AUC) from time zero up to the infinite time [AUC (0-∞)] of LY03003,1,1,Rotigotine
DRD2,PK,Area under the concentration-time curve (AUC) from zero up to the last measured concentration [AUC (0-t)] of LY03003,1,1,Rotigotine
DRD2,PK,Area under the concentration-time curve (AUC) from zero up to the last measured concentration greater than the Lower Limit of Quantitation (LOQ) [AUC (0-t)] of unconjugated Rotigotine,1,0,Rotigotine
DRD2,PK,Area Under the Concentration-time Curve (AUCτ) During a Dosing Interval at Steady-state for Brexpiprazole and Its Metabolite DM-3411,1,0,Brexpiprazole
DRD2,PK,Area Under the Concentration-time Curve Calculated to the Last Observable Concentration at Time t (AUCt) of Brexpiprazole,1,0,Brexpiprazole
DRD2,PK,Area under the concentration-time curve from time zero to the last quantifiable time interval (AUCl0-last),1,0,Aripiprazole
DRD2,PK,Area under the concentration-time curve from time zero to time t (AUC0-t),1,0,Aripiprazole
DRD2,PK,Area under the concentration-time curve from zero to infinity [AUC (0-inf)] of total Despropylrotigotine,1,0,Rotigotine
DRD2,PK,Area under the concentration-time curve from zero to infinity [AUC (0-inf)] of total Desthienylethylrotigotine,1,0,Rotigotine
DRD2,PK,Area under the concentration-time curve from zero to infinity [AUC (0-inf)] of total Rotigotine,1,0,Rotigotine
DRD2,PK,Area under the concentration-time curve from zero to infinity [AUC (0-inf)] of unconjugated Rotigotine,1,0,Rotigotine
