Targets,Drug,NCT_ID,URL,Phase,Status,Start_date,Enrollment,Conditions,N_primary,N_secondary,Primary_outcome_measures,Secondary_outcome_measures,Biomarker_measures
ADH1C,Fomepizole,NCT02415712,https://clinicaltrials.gov/study/NCT02415712,,Completed,2015-01-27,147,"Ethylene Glycol Poisoning, Methanol Poisoning",5,0,Arterial Blood pH ~ Number of Participants Reporting One or More Adverse Events (AEs) ~ Number of Participants Reporting One or More Serious Adverse Events (SAEs) ~ Number of Participants Who Had One or More Adverse Drug,,No
ADH1C,Fomepizole,NCT03878693,https://clinicaltrials.gov/study/NCT03878693,Early Phase 1,Completed,2018-07-01,6,Healthy Adult Volunteers,1,0,Oxidative metabolism of APAP,,No
ADH1C,Fomepizole,NCT05517668,https://clinicaltrials.gov/study/NCT05517668,Phase 2,Terminated,2022-09-12,29,Acetaminophen; Acetaminophen Overdose; Acetaminophen Poisoning; Drug Overdose; Drug-induced Liver Injury; Live,1,7,Difference in serum alanine transaminase (ALT) from presentation to peak recorded ALT,Measurement of protein adducts ~ Peak INR ~ Peak aspartate aminotransferase (AST) ~ Peak creatinine ~ Proportion of patients developing acute liver failure (ALF). ~ Serial measurement of fomepizole serum concentration ~ ,Yes
BCHE,Rivastigmine,NCT00000174,https://clinicaltrials.gov/study/NCT00000174,Phase 3,Completed,,,Alzheimer Disease; Cognition Disorders,0,0,,,
BCHE,Rivastigmine,NCT00099216,https://clinicaltrials.gov/study/NCT00099216,Phase 3,Completed,2001-08-01,708,Vascular Dementia,2,3,Change in cognition from baseline at week 24 ~ Global clinical impression of change from baseline at week 24,Change in activities of daily living from baseline at week 24 ~ Change in behavioral symptoms from baseline at week 24 ~ Change in clinical staging from baseline at week 24,No
BCHE,Rivastigmine,NCT00099242,https://clinicaltrials.gov/study/NCT00099242,Phase 3,Completed,2003-11-01,1040,"Alzheimer's Disease; Dementia, Alzheimer Type",2,5,Change in cognition from baseline at week 24 ~ Global clinical impression of change from baseline at week 24,Change from baseline at week 24 in activities of daily living ~ Change from baseline at week 24 in attention ~ Change from baseline at week 24 in behavioral symptoms ~ Change from baseline at week 24 in executive functio,No
BCHE,Rivastigmine,NCT00102284,https://clinicaltrials.gov/study/NCT00102284,Phase 4,Terminated,2004-03-01,100,Healthy,1,1,Boost in language learning success through neuromodulation,Stability of language learning success,No
BCHE,Rivastigmine,NCT00102856,https://clinicaltrials.gov/study/NCT00102856,Phase 4,Suspended,2005-01-01,60,Healthy,1,1,Boost in language learning success (percent hits) through neuromodulation,"Stability of language learning success after one week, one month, and one year",No
BCHE,Rivastigmine,NCT00104442,https://clinicaltrials.gov/study/NCT00104442,Phase 4,Completed,2003-10-01,80,Alzheimer's Disease,1,3,Changes in specific brain enzyme activity from baseline to week 13,Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13 ~ Correlate changes in specific brain enzyme activity after 13 weeks treatment to changes in global functionin,Yes
BCHE,Rivastigmine,NCT00130338,https://clinicaltrials.gov/study/NCT00130338,Phase 3,Completed,2002-02-01,521,Vascular Dementia,1,1,Safety and tolerability of rivastigmine for up to 52 weeks of treatment in patients with VaD and probable VaD,"52 week's treatment with rivastigmine on cognition, activities of daily living, behavior and clinical staging in patients with VaD and probable VaD",No
BCHE,Rivastigmine,NCT00134953,https://clinicaltrials.gov/study/NCT00134953,Phase 3,Terminated,2003-01-01,24,Cognitive Symptoms,1,1,"16 week's treatment with rivastigmine on alertness, memory, attention, cognitive flexibility, orientation and language in patients with mild cognitive impairment",Safety of 16 week's treatment with rivastigmine in patients with mild cognitive impairment,No
BCHE,Rivastigmine,NCT00158210,https://clinicaltrials.gov/study/NCT00158210,Phase 1,Completed,2006-05-01,18,Substance-Related Disorders,1,0,Methamphetamine abstinence,,No
BCHE,Rivastigmine,NCT00171795,https://clinicaltrials.gov/study/NCT00171795,Phase 3,Completed,2002-11-01,67,Traumatic Brain Injury,1,2,20 week's treatment with rivastigmine on selective attention compared with placebo in patients with TBI and cognitive impairment,"Change from baseline to week 20 in cognitive functioning including selective attention, memory, executive function, and global clinical rating ~ Safety of rivastigmine",No
BCHE,Rivastigmine,NCT00219232,https://clinicaltrials.gov/study/NCT00219232,Phase 3,Completed,2003-02-01,868,Alzheimer's Disease,1,5,"Safety and tolerability as measured by adverse events, vital signs and skin irritation for up to 28 weeks treatment",Change in activities of daily living from baseline at week 52 ~ Change in behavioral symptoms from baseline at week 52 ~ Change in cognition from baseline (week 24 of the double blind phase) at week 52 ~ Change in execut,No
BCHE,Rivastigmine,NCT00219245,https://clinicaltrials.gov/study/NCT00219245,Phase 4,Completed,2002-11-01,157,Traumatic Brain Injury With Persistent Cognitive Deficits,2,5,Improvement in cognitive functioning in the areas of attention or verbal memory from baseline to week 26 ~ Safety and tolerability of 26 week's of treatment with rivastigmine in patients with traumatic brain injury with ,Changes in behavior from baseline to week 26 ~ Changes in cognitive functioning from baseline to week 26 ~ Changes in depression from baseline to week 26 ~ Changes in overall functioning from baseline to week 26 ~ Change,No
BCHE,Rivastigmine,NCT00223691,https://clinicaltrials.gov/study/NCT00223691,Phase 1,Completed,2002-03-01,389,Autonomic Failure; Orthostatic Hypotension,1,1,Increase in seated systolic blood pressure 1-hr post drug compared to baseline.,Increase in standing time 1-hr post drug compared to baseline,No
BCHE,Rivastigmine,NCT00234637,https://clinicaltrials.gov/study/NCT00234637,Phase 4,Completed,2003-11-01,204,Alzheimer's Disease,1,4,The proportion of responders (cognitive function stable or improved) at the end of phase 2 (vs. end of phase 1).,Change in behavior at weeks 16 and 28 (end of period 1) compared to baseline ~ Change in caregiver burden at weeks 16 and 28 (end of period 1) compared to baseline ~ Change in cognition at weeks 16 and 28 (end of period ,No
BCHE,Rivastigmine,NCT00257868,https://clinicaltrials.gov/study/NCT00257868,Phase 3,Completed,2006-01-01,120,Delirium,1,3,Development of postoperative delirium within 7 days after cardiac surgery,Amount of drugs used for rescue therapy of delirium ~ Length of stay (intensive care and hospital) ~ Severity of delirium occurring within 7 days after cardiac surgery,No
BCHE,Rivastigmine,NCT00305903,https://clinicaltrials.gov/study/NCT00305903,Phase 4,Completed,2006-03-01,150,Alzheimer's Disease,1,1,"Safety and tolerability of treatment with memantine and rivastigmine, measured by the incidence of GI adverse events (nausea and vomiting)",Whether patients on rivastigmine and memantine are able to reach and maintain higher doses of rivastigmine compared to historical data of rivastigmine monotherapy,No
BCHE,Rivastigmine,NCT00423085,https://clinicaltrials.gov/study/NCT00423085,Phase 3,Completed,2007-01-01,859,Alzheimer's Disease,2,7,Change From Baseline in the Alzheimer's Disease Assessment Scale - Japan Cognitive Subscale (ADAS-J Cog) ~ Overall Clinical Rating of Change From Baseline to Week 24 Measured by the Clinician's Interview-Based Impression,Change From Baseline in CIBIC Plus-J Score Behavioral Pathology in Alzheimer's Disease Rating Scale (Behave-AD) ~ Change From Baseline in CIBIC Plus-J Score Disability Assessment for Dementia (DAD) ~ Change From Baseline,No
BCHE,Rivastigmine,NCT00428389,https://clinicaltrials.gov/study/NCT00428389,Phase 3,Completed,2007-01-01,262,Alzheimer's Disease,1,6,Number of Participants Who Discontinued From the Study Due to Any Reason During the Core Phase of the Study,Mean Change From Baseline in Mini Mental State Exam (MMSE) Score at Week 25 and at the End of Study ~ Mean Change From Baseline in Neuropsychiatric Inventory - 10 Item (NPI-10) Score at Week 25 and at the End of Study. ~,No
BCHE,Rivastigmine,NCT00506415,https://clinicaltrials.gov/study/NCT00506415,Phase 3,Completed,2007-06-01,1584,Alzheimer Disease,2,5,Change From Baseline in Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog) Subscale at Week 48 of Double Blind Period ~ Change in Alzheimer's Disease Cooperative Study-Instrumental Activities of Daily Living (ADCS,Change From Baseline in Neuropsychiatric Inventory (NPI)-10 Score at Week 48 of Double Blind Period ~ Change in Attention and Executive Function as Assessed by the Trail Making Test (Part A) at Week 48 of the Double Blin,No
BCHE,Rivastigmine,NCT00522015,https://clinicaltrials.gov/study/NCT00522015,Phase 2,Unknown,2008-02-01,20,Dementia; Progressive Supranuclear Palsy,1,1,"improvement in neuropsychological assessments for memory and executive function, e.g. tested by ""Tower of London Test, CERAD Battery and Logical Memory Test (WMSR)""",changes in speech function and improvement of quality of life,No
BCHE,Rivastigmine,NCT00549601,https://clinicaltrials.gov/study/NCT00549601,Phase 4,Completed,2007-09-01,142,Alzheimer's Disease,1,5,Percentage of Patients Who Had a Gastrointestinal Adverse Event (AE) at Any Time During the Study,Change in the Total Mini-Mental State Examination (MMSE) Score From Baseline to Month 1 and Month 3 ~ Overall Caregiver Satisfaction With Treatment ~ Overall Patient Satisfaction With Treatment ~ Percentage of Patients W,No
BCHE,Rivastigmine,NCT00561392,https://clinicaltrials.gov/study/NCT00561392,Phase 4,Completed,2007-11-01,208,Alzheimer's Disease,3,6,Percentage of Participants Treated by Rivastigmine 10 cm^2 Patch for at Least 8 Weeks Regardless Whether They Completed the Study ~ Percentage of Participants Treated by Rivastigmine 10 cm^2 Patch for at Least 8 Weeks Wh,Change From Baseline in the Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change (ADCS-CGIC) at Week 24 Assessed by the Physician ~ Mean Change From Baseline in the Alzheimer's Disease Cooperative S,No
BCHE,Rivastigmine,NCT00599287,https://clinicaltrials.gov/study/NCT00599287,Phase 3,Terminated,2008-02-01,80,Delirium,1,4,duration of delirium,delirium severity ~ duration of ICU-stay ~ duration of in hospital stay ~ frequency of side effects,No
BCHE,Rivastigmine,NCT00622713,https://clinicaltrials.gov/study/NCT00622713,Phase 4,Completed,2008-01-01,228,Alzheimer's Disease,1,4,Percentage of Patients Who Achieved and Maintained the Maximum Dose of 10 cm^2 Rivastigmine Patch for at Least 8 Weeks During 24 Weeks Study,Clinical Global Impression of Change (CGI-C) by Physician ~ Mean Change From Baseline to Week 24 in the 4-item Instrumental Activities of Daily Living (4-IADL) Score ~ Mean Change From Baseline to Week 24 in the Mini-Men,No
BCHE,Rivastigmine,NCT00623103,https://clinicaltrials.gov/study/NCT00623103,Phase 3,Completed,2008-01-01,583,Parkinson's Disease Dementia,2,6,"Percentage of Participants With Adverse Events (AEs) Due, or Potentially Due, to Worsening of Parkinson Disease (PD) Motor Symptoms (Tremor, Muscle Rigidity, Bradykinesia, Fall) ~ Percentage of Participants With Study Dr","Change in Alzheimer's Disease Cooperative Study-Activities Of Daily Living (ADCS-ADL) Scores at Weeks 16, 24, 52 and 76 (or Early Discontinuation) Compared to Baseline ~ Change in Mattis Dementia Rating Scale (Mattis DRS",No
BCHE,Rivastigmine,NCT00624663,https://clinicaltrials.gov/study/NCT00624663,N/A,Completed,2009-01-01,15,Rivastigmine Toxicity,1,1,"Physiological effects,Objective and subjective symptoms, Cognitive Performance tests","4. Pharmacokinetic parameters (Cmax, Tmax, AUCT, AUCI ) determined from plasma rivastigmine concentrations,Blood cholinesterase inhibition",Yes
BCHE,Rivastigmine,NCT00627848,https://clinicaltrials.gov/study/NCT00627848,N/A,Completed,2007-03-01,20,Alzheimer' Disease,1,1,FMRI response in face recognition task,treatment response measured by ADAS-cog,No
BCHE,Rivastigmine,NCT00669344,https://clinicaltrials.gov/study/NCT00669344,Phase 4,Completed,2006-02-01,50,Cognitive Impairment,1,4,To evaluate the comparative change from baseline between treatment and placebo arms in the Ten Point Clock Drawing Test as well as Color Trails 1 and 2.,To evaluate the comparative change from baseline between treatment and placebo on activities of daily living ~ To evaluate the comparative change from baseline between treatment and placebo on behavior and depression ~ T,No
BCHE,Rivastigmine,NCT00704301,https://clinicaltrials.gov/study/NCT00704301,Phase 4,Terminated,2008-11-01,104,Delirium,1,10,Duration of delirium,Activity of daily living ~ Cognitive outcomes ~ Frequency and distribution of side effects ~ Healthcare costs ~ Length of ICU stay ~ Length of in-hospital stay ~ Number of accidental removed catheters ~ Severity of delir,No
BCHE,Rivastigmine,NCT00731224,https://clinicaltrials.gov/study/NCT00731224,Phase 4,Completed,2008-07-01,380,Alzheimer's Disease,1,2,Proportion of patients who can reach the target rivastigmine patch size of 10 cm2 and stay on it for at least 8 weeks.,"Mini-Mental State Examination (MMSE), Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL), Global Deterioration Scale (GDS), caregiver burden (Zarit Burden Interview). ~ Patient compliance (drug",No
BCHE,Rivastigmine,NCT00748007,https://clinicaltrials.gov/study/NCT00748007,N/A,Completed,2008-01-01,14,Down Syndrome,1,1,"Scores of Vineland Adaptive Behavior Scales (VABS), Scores of WISC digit span, Scores of Leiter-R Forward memory , Scores of PPVT,","Scores of NEPSY test for Visuospatial and Design Coping, Scores of Visuomotor Precision, Scores of WPPSI Sentences, Scores of Score for Character Recognitions by School Grade, and Scores of Test for Mathematic Ability fo",No
BCHE,Rivastigmine,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,Phase 1,Completed,2008-10-01,49,Alzheimer's Disease; Central Nervous System Diseases,1,9,Safety and Tolerability of Multiple Doses of EVP-6124 or Placebo in Subjects With Alzheimer's Disease,Donepezil PK Data Following the First Dose of EVP-6124 - Area Under the Curve (AUC[0-24 h]) ~ Donepezil PK Data Following the First Dose of EVP-6124 - Maximum Concentration (Cmax) ~ Donepezil PK Data Following the First ,Yes
BCHE,Rivastigmine,NCT00767091,https://clinicaltrials.gov/study/NCT00767091,Phase 3,Completed,2009-03-01,40,Apathy; Parkinson's Disease; no Dementia,1,1,Measure on the scale : Lille Apathy Rating Scale (LARS),"Cognitive, motor and behaviour assessment",No
BCHE,Rivastigmine,NCT00835159,https://clinicaltrials.gov/study/NCT00835159,Phase 4,Completed,2008-12-01,30,Delirium; Postoperative Cognitive Dysfunction,1,0,Incidence of POD,,No
BCHE,Rivastigmine,NCT00881205,https://clinicaltrials.gov/study/NCT00881205,Phase 4,Terminated,2009-04-01,86,Cognitive Impairment; Multiple Sclerosis,1,0,Change From Baseline to Week 16 in Total Recall on the Selective Reminding Test (SRT) in the Intent to Treat (ITT) Population,,No
BCHE,Rivastigmine,NCT00948766,https://clinicaltrials.gov/study/NCT00948766,Phase 4,Completed,2009-07-01,716,Alzheimer's Disease,2,5,Core Study: Change From Baseline in the Alzheimer's Disease Cooperative Study-Activities of Daily Living-Severe Impairment Version (ADCS-ADL-SIV) Score at Week 24 ~ Core Study: Change From Baseline in the Severity Impair,Core Study: Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change (ADCS-CGIC) Score at Week 24 ~ Core Study: Change From Baseline in the Neuropsychiatric Inventory (NPI-12) Score at Week 24 ~ Extensi,No
BCHE,Rivastigmine,NCT00988117,https://clinicaltrials.gov/study/NCT00988117,Phase 4,Completed,2010-04-01,15,Parkinsons Disease With Dementia; Parkinsons Disease With Mild to Moderate Memory and/or Thinking Problems,2,1,Pre-post Change in Continuous Performance Test of Attention (Median Reaction Time) ~ Resting State Functional Activity Change From Baseline to 12 Weeks,Pre-post Change in Montreal Cognitive Assessment,No
BCHE,Rivastigmine,NCT01025466,https://clinicaltrials.gov/study/NCT01025466,Phase 4,Completed,2008-12-01,206,Alzheimer's Disease,1,8,Retention rate at week 16 after randomization,Change from baseline at week 16 in Alzheimer's Disease Assessment Scale-Cognitive subscale ~ Change from baseline at week 16 in Alzheimer's Disease Cooperative Study - Activities of Daily Living ~ Change from baseline at,No
BCHE,Rivastigmine,NCT01030692,https://clinicaltrials.gov/study/NCT01030692,Phase 1,Completed,2009-01-01,72,Cocaine Abuse; Cocaine Addiction; Cocaine Dependence; Substance Abuse,1,1,The effects of rivastigmine or huperzine A and cocaine on cardiovascular measures,The effects of rivastigmine or huperzine A and cocaine on subjective measures,No
BCHE,Rivastigmine,NCT01047579,https://clinicaltrials.gov/study/NCT01047579,Phase 4,Completed,2010-04-01,51,Alzheimer's Disease,1,1,Caregiver questionnaire,Safety and Tolerability. Safety assessments include vital signs and adverse events (AEs),No
BCHE,Rivastigmine,NCT01073319,https://clinicaltrials.gov/study/NCT01073319,Phase 1,Completed,2009-07-01,17,Methamphetamine Abuse; Methamphetamine Dependence; Substance Abuse,1,1,Effects of rivastigmine and methamphetamine on cardiovascular measures,Effects of rivastigmine and methamphetamine on subjective measures (craving and choices for METH),No
BCHE,Rivastigmine,NCT01084135,https://clinicaltrials.gov/study/NCT01084135,Phase 1,Completed,2009-11-01,42,Down Syndrome,1,1,"Vineland Adaptive Behavior Scales, Second Edition (Survey Interview Form)",Behavior Rating Inventory of Executive Function-Preschool (BRIEF-P),No
BCHE,Rivastigmine,NCT01146041,https://clinicaltrials.gov/study/NCT01146041,Phase 1,Completed,2004-02-01,44,Healthy,1,0,Bioequivalence based on Cmax and AUC parameters,,No
BCHE,Rivastigmine,NCT01146067,https://clinicaltrials.gov/study/NCT01146067,Phase 1,Completed,2004-01-01,44,Healthy,1,0,Bioequivalence based on Cmax and AUC parameters,,No
BCHE,Rivastigmine,NCT01183806,https://clinicaltrials.gov/study/NCT01183806,Phase 3,Completed,2010-07-01,40,Alzheimer Disease,1,4,Patients' Quality of life,Activities of daily living ~ Caregivers' Quality of life ~ Cognition ~ Functional mobility,No
BCHE,Rivastigmine,NCT01312363,https://clinicaltrials.gov/study/NCT01312363,,Completed,2009-06-01,300,Alzheimer's Disease,1,1,Number of participants with adverse events,Factors for the disuse of Rivastigmine patch,No
BCHE,Rivastigmine,NCT01348282,https://clinicaltrials.gov/study/NCT01348282,Phase 4,Completed,2011-05-01,33,HIV Infection; Neurocognitive Disturbance,1,5,Percentage of persons with neurocognitive impairment in the different study groups,Adverse events associated with the initiation of therapy and toxicity parameters ~ Demographics ~ Emotional variables ~ Functional variables ~ Quality of life variables,No
BCHE,Rivastigmine,NCT01362686,https://clinicaltrials.gov/study/NCT01362686,N/A,Terminated,2011-04-01,200,Alzheimer's Disease; Dementia,1,2,Discontinuation Rates,Healthy Aging Brain Care (HABC)-Monitor ~ Neuropsychiatric Inventory (NPI),No
BCHE,Rivastigmine,NCT01380288,https://clinicaltrials.gov/study/NCT01380288,N/A,Completed,2011-06-01,300,Alzheimer's Disease,1,6,The changes of cognitive function as measured by ADAS-Cog,Adverse events ~ Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL) ~ Caregiver burden scale ~ Caregiver-Administered Neuropsychiatric Inventory (CGA-NPI) ~ Clinical Dementia Rating Scale-Sum o,No
BCHE,Rivastigmine,NCT01399125,https://clinicaltrials.gov/study/NCT01399125,Phase 3,Completed,2011-07-01,501,Alzheimer's Disease,1,4,"Change From Baseline on Cognition, Assessed by the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog)","Change From Baseline in Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL) Total Score ~ Change From Baseline in Global Functioning, Assessed by the Alzheimer's Disease Assessment Scale Clinica",No
BCHE,Rivastigmine,NCT01487317,https://clinicaltrials.gov/study/NCT01487317,Phase 3,Completed,2011-06-01,23,Delirium,1,4,Hospital length of stay from randomization to declaration by investigator (MD) that patient can leave acute care,Percentage of patients with a dementia diagnosis at 12 months (according to the DSM IV criteria) ~ Percentage of patients with persistent delirium symptoms (DRS R-98 scale) ~ Percentage of patients with persistent deliri,No
BCHE,Rivastigmine,NCT01519271,https://clinicaltrials.gov/study/NCT01519271,Phase 4,Completed,2011-12-01,28,Mild Cognitive Impairment; Parkinson's Disease,1,1,Alzheimer's Disease Cooperative Study- Clinical Global Impression Change (ADCS-CGIC),Montreal Cognitive Assessment (MoCA),No
BCHE,Rivastigmine,NCT01529619,https://clinicaltrials.gov/study/NCT01529619,Phase 4,Completed,2012-03-01,52,Alzheimer's Disease,1,6,Change From Baseline in the Alzheimer's Disease Assessment Scale - Japan Cognitive Subscale (ADAS-J cog),"Adverse Events, Serious Adverse Events, Adverse event leading to discontinuation of study drug ~ Change From Baseline in Disability Assessment for Dementia (DAD) ~ Change From Baseline in Japanese version of the Clinical",No
BCHE,Rivastigmine,NCT01602198,https://clinicaltrials.gov/study/NCT01602198,N/A,Terminated,2011-06-01,1,Mild Cognitive Disorder; Mild Cognitive Impairment,1,0,Change in BOLD Response on Functional Magnetic Resonance Imaging (fMRI),,No
BCHE,Rivastigmine,NCT01670526,https://clinicaltrials.gov/study/NCT01670526,Phase 3,Completed,2012-12-01,94,Cognitive Impairment; Traumatic Brain Injury,1,3,Number of Participants With Demonstrated Improvement From Baseline on the Hopkins Verbal Learning Test-Revised (HVLT-R) Total Recall,Twelve-week Change in Beck Depression Inventory-II (BDI-II) ~ Twelve-week Change in The PTSD Symptom Checklist-Military Version (PCL-M) ~ Twelve-week Change in University of California San Diego Performance-based Skills ,No
BCHE,Rivastigmine,NCT01677754,https://clinicaltrials.gov/study/NCT01677754,Phase 2,Completed,2012-10-24,542,Alzheimer's Disease,1,18,Change From Baseline in Alzheimer's Disease Assessment Scale - Cognitive Behavior Subscale (ADAS-Cog-11) Score at Month 12,Apparent Total Clearance of the Drug From Plasma After Administration of RO4602522 ~ Apparent Volume of Distribution at Steady State after Administration of RO4602522 ~ Area Under the Plasma Concentration-Time Curve of R,Yes
BCHE,Rivastigmine,NCT01856738,https://clinicaltrials.gov/study/NCT01856738,Phase 4,Terminated,2013-11-01,91,Parkinson's Disease,1,16,time to start with antipsychotic treatment for visual hallucinations,EEG flow direction ~ EEG frequency band analysis ~ EEG functional connectivity ~ EEG power analysis ~ EEG topological network organisation ~ adverse events ~ care use ~ caregiver burden ~ cholinergic deficiency ~ cogniti,No
BCHE,Rivastigmine,NCT01944436,https://clinicaltrials.gov/study/NCT01944436,,Completed,2006-09-01,57,Lewy Body Disease,2,1,Change from baseline in neuropsychological assessment scores at 6 months ~ Change from baseline in perfusion brain SPECT at 6 months,Volumetric Brain MRI,No
BCHE,Rivastigmine,NCT02063269,https://clinicaltrials.gov/study/NCT02063269,N/A,Unknown,2014-02-01,70,Alzheimer's Disease,2,6,the mean changes of Standardized Uptake Values (SUVmean) in PET imaging ~ the mean changes of serum BuChE activity between BuChE wild type and K-variant type,the behavioural changes by Caregiver-Administered Neuropsychiatric Inventory (NPI) ~ the cognitive changes in Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-cog) ~ the cognitive changes in Mini-Mental Stat,Yes
BCHE,Rivastigmine,NCT02374567,https://clinicaltrials.gov/study/NCT02374567,Phase 3,Terminated,2015-01-01,407,Anxiety Disorders; Dementia; Depression; Psychosomatic Disorders; Schizophrenia,1,6,Assessment of frequency and severity of adverse events,Adverse drug reactions ~ Assessment of cognitive functioning ~ Electrocardiogram ~ Medication intake ~ Quality of life ~ Serum level of substances,No
BCHE,Rivastigmine,NCT02413554,https://clinicaltrials.gov/study/NCT02413554,Phase 4,Completed,2013-04-01,62,Delirium,1,1,the number of participants with delirium,delirium severity using delirium rating scale,No
BCHE,Rivastigmine,NCT02444637,https://clinicaltrials.gov/study/NCT02444637,Phase 4,Completed,2015-04-01,100,Alzheimer Disease; CVA (Cerebrovascular Accident),1,1,Number of Participants with Demonstrated Benefit in Global and Cognitive Measures,Number of Participants with Adverse Events as a Measure of Safety and Tolerability,No
BCHE,Rivastigmine,NCT02703636,https://clinicaltrials.gov/study/NCT02703636,Phase 4,Completed,2016-05-09,118,Mild to Moderate Alzheimer's Disease,1,7,MMSE Total Score: Change From Baseline to Week 8 and Week 24 (Full Analysis Set),Change From Baseline to Week 8 in Mini-Mental State Examination (MMSE) Total Score ~ Change in J-CGIC Score From Baseline and at Week 24 ~ Change in Neuropsychiatric Inventory - 10 Item (NPI-10) Score From Baseline to We,No
BCHE,Rivastigmine,NCT02839642,https://clinicaltrials.gov/study/NCT02839642,Phase 3,Completed,2016-07-26,106,Progressive Supranuclear Palsy (PSP),1,9,Efficacy will be assessed at 4 months as the change from baseline of the number of falls and near falls over the past 2 week,Apathy assessed using the Lille Apathy Rating Scale (LARS) both subject and caregiver versions ~ Assessment of the Quality of life of patient using the EQ-5D ~ Assessment of the Quality of life of patient using the PSP-Q,No
BCHE,Rivastigmine,NCT02989402,https://clinicaltrials.gov/study/NCT02989402,Phase 4,Completed,2018-12-31,100,Alzheimer's Disease,1,6,Number of Participants With Treatment Emergent Adverse Events (AEs) and Serious Adverse Events (SAEs),Change From Baseline in Alzheimer's Disease Cooperative Study - Activities of Daily Living Inventory - Severe Impairment Version (ADCS-ADL SIV) Score ~ Change From Baseline in Mini-Mental State Examination (MMSE) ~ Compl,No
BCHE,Rivastigmine,NCT03454646,https://clinicaltrials.gov/study/NCT03454646,Phase 4,Not Yet Recruiting,2024-06-01,1205,Alzheimer Disease; Cholinesterase Inhibitors,1,48,The primary outcome is a combination of complete BADL dependency in bathing and dressing and/or institutionalization or death at 2 years after randomization.,BADL dependency will be evaluated by the clinician using the BADL scale from Katz [17]. ~ Combination of complete BADL dependency in bathing and dressing and/or institutionalization or death ~ Death and date of death ~ I,No
BCHE,Rivastigmine,NCT03840837,https://clinicaltrials.gov/study/NCT03840837,Phase 4,Completed,2019-05-02,31,Parkinson Disease; Parkinson Disease Dementia,2,0,NeuroTrax Executive Function score ~ Timed-Up-and-Go (TUG) duration [s],,No
BCHE,Rivastigmine,NCT03915626,https://clinicaltrials.gov/study/NCT03915626,Early Phase 1,Completed,2019-10-04,7,Bioavailability,1,0,Total Area Under the Curve (AUC) 0-12 Hours,,No
BCHE,Rivastigmine,NCT03957174,https://clinicaltrials.gov/study/NCT03957174,N/A,Completed,2019-06-01,107,Healthy,1,2,Change in learning rates,Affective processing ~ Pupil size,No
BCHE,Rivastigmine,NCT04189666,https://clinicaltrials.gov/study/NCT04189666,Phase 1,Completed,2019-11-18,180,Delirium,1,1,compare between the two groups regarding the incidence of developing Delirium among the elderly patients,compare between both groups regarding level of sedation,No
BCHE,Rivastigmine,NCT04226248,https://clinicaltrials.gov/study/NCT04226248,Phase 3,Completed,2020-01-02,600,Parkinson Disease,1,15,Fall rate,Apathy ~ Capability of older people ~ Cognition ~ Cost effectiveness by NHS resource use ~ Depression ~ Dysphagia ~ Fear of falling ~ Frailty ~ Freezing of Gait Assessment ~ Freezing of gait ~ Gait Assessment ~ Mortality,No
BCHE,Rivastigmine,NCT04366518,https://clinicaltrials.gov/study/NCT04366518,Early Phase 1,Recruiting,2021-07-15,35,"Hallucinations, Auditory; Psychosis",1,2,Number of conditioned hallucinations exhibited during saline vs placebo administration,Functional correlation with model belief trajectories ~ Prior-Weighting Parameter of the Hierarchical Gaussian Filter,No
BCHE,Rivastigmine,NCT05768126,https://clinicaltrials.gov/study/NCT05768126,Phase 4,Unknown,2021-09-29,100,Depressive Disorder,13,10,Changes in resting-state EEG peak frequency ~ Remission ~ The effect of rivastigmine on changes in scores on the Columbia University Autobiographical Memory Interview short form ~ The effect of rivastigmine on changes in,Change in impact of cognitive adverse events on the Subjective Assessment of Memory Impairment (SAMI) questionnaire ~ Change in subjective feeling of memory impairment on the Subjective Assessment of Memory Impairment (S,No
BCHE,Rivastigmine,NCT05883124,https://clinicaltrials.gov/study/NCT05883124,Phase 1,Completed,2023-04-17,38,Bioequivalence,4,1,"AUC96-264 ~ CTau264 ~ Cmax,96-264 ~ Patch adhesion properties",Adverse events,No
BCHE,Rivastigmine,NCT06382649,https://clinicaltrials.gov/study/NCT06382649,Phase 2,Recruiting,2026-06-01,42,Anticholinergic Toxicity,1,11,Time to control of agitation and delirium,Bradycardia ~ Disposition ~ Duration of agitation and delirium ~ Gastrointestinal upset ~ Intubation ~ Oversedation ~ Seizure ~ Time to medical clearance ~ Total amount of sedatives administered ~ Use of physical restrai,No
