Targets,Drug,NCT_ID,URL,Phase,Status,Start_date,Enrollment,Conditions,N_primary,N_secondary,Primary_outcome_measures,Secondary_outcome_measures,Biomarker_measures
TNF,Infliximab,NCT00106847,https://clinicaltrials.gov/study/NCT00106847,Phase 3,Completed,2003-01-01,683,Parapsoriasis; Psoriasis,1,1,Proportion of patients who achieve greater or equal to 75% improvement in Psoriasis Area and Severity Index (PASI) from baseline at week 10.,Improvement from baseline in Psoriasis Area and Severity Index response between weeks 16 and 30. Change in Dermatology Life Quality Index from baseline at week 10. Patients with a Physician's Global Assessment score of c,No
TNF,Infliximab,NCT00111917,https://clinicaltrials.gov/study/NCT00111917,Phase 1,Terminated,2005-02-01,13,Berylliosis; Beryllium Disease,1,0,A-a Gradient at End Exercise,,No
TNF,Infliximab,NCT00112749,https://clinicaltrials.gov/study/NCT00112749,Phase 2,Terminated,2005-02-01,7,Breast Cancer; Fatigue,2,3,Change in fatigue as measured by multidimensional fatigue symptom inventory (MFSI) ~ Change in fatigue as measured by the fatigue symptom inventory (FSI),Change in proinflammatory cytokines as measured by interleukin 6 value ~ Change in proinflammatory cytokines as measured by interleukin-1 receptor antagonist value ~ Change in proinflammatory cytokines as measured by tum,Yes
TNF,Infliximab,NCT00133315,https://clinicaltrials.gov/study/NCT00133315,Phase 4,Completed,2004-09-01,50,Ankylosing Spondylitis; Psoriatic Arthritis; Spondylarthropathies,0,0,,,
TNF,Infliximab,NCT00175266,https://clinicaltrials.gov/study/NCT00175266,Phase 2,Completed,,12,Type 1 Diabetes,0,0,,,
TNF,Infliximab,NCT00201799,https://clinicaltrials.gov/study/NCT00201799,Phase 2,Completed,2004-02-01,19,Graft-Versus-Host Disease,1,1,Evaluate efficacy of infliximab in reducing incidence of grade II-IV acute GvHD by day +100 post transplant in patients undergoing allogenic HCT and receiving standard cyclosporine and short course methotrexate GvHD prop,"Assess the effect of infliximab on treatment-related mortality at 100 days post-transplant and on the incidence and severity of regimen related toxicity, including veno-occlusive disease (VOD) of the liver and interstiti",No
TNF,Infliximab,NCT00202852,https://clinicaltrials.gov/study/NCT00202852,Phase 3,Completed,2005-06-01,143,"Arthritis, Rheumatoid",1,3,Achievement of a clinical response (according to the ACR criteria) at the 30-week follow-up visit.,"Assessment of adverse events at each of the evaluation visits. ~ Routine, laboratory tests (hematology, blood chemistry, and urinalysis) will be performed at Screening, at 2 and 6 weeks, and thereafter every 8 weeks thro",No
TNF,Infliximab,NCT00202865,https://clinicaltrials.gov/study/NCT00202865,Phase 3,Completed,2005-05-01,76,"Spondylitis, Ankylosing",1,14,"The proportion of AS assessment responders ASAS20 (ie, a minimum 20% improvement from Baseline according to the ASAS response criteria) at Week 12.",Assess predictors of response. ~ Assess predictors of toxicity. ~ Assess the treatment survival. ~ Change from Baseline in BASDAI at Week 12 and Week 50. ~ Change from Baseline in BASFI at Week 12 and Week 50. ~ Change f,No
TNF,Infliximab,NCT00207662,https://clinicaltrials.gov/study/NCT00207662,Phase 3,Completed,2000-07-01,580,Crohn Disease,1,1,Reductions in the signs and symptoms of Crohn's disease,Clinical remission;reduction in the use corticosteroids; mucosal healing,No
TNF,Infliximab,NCT00207675,https://clinicaltrials.gov/study/NCT00207675,Phase 3,Completed,2003-02-01,112,Crohn Disease,1,1,"Clinical response at Week 10, defined as a decrease from baseline in the PCDAI score of at least 15 points with a total score of no more than 30 points at Week 10.",Clinical response at Week 54; Clinical remission at Week 54; Change from baseline in corticosteroid use at Week 54; Change from baseline in height status at Week 54,No
TNF,Infliximab,NCT00207688,https://clinicaltrials.gov/study/NCT00207688,,Completed,2004-08-31,505,Ulcerative Colitis,1,4,Number of patients with adverse events as a measure of safety,Number of patients with hospitalizations for the treatment of ulcerative colitis ~ Number of patients with malignancies by malignancy type ~ Number of patients with serious infections by type of infection ~ Number of pat,No
TNF,Infliximab,NCT00207701,https://clinicaltrials.gov/study/NCT00207701,Phase 3,Completed,2002-09-01,279,Ankylosing Spondylitis,1,1,The primary endpoint of this study was the proportion of subjects who achieved an ASAS 20 response at week 24.,"The change from baseline in BASFI at week 24, the proportion of subjects who achieved an AS major clinical response at week 24, and the change from baseline in the physical component summary score of the SF-36 at week 24",No
TNF,Infliximab,NCT00207714,https://clinicaltrials.gov/study/NCT00207714,Phase 2,Completed,2003-11-01,172,Rheumatoid Arthritis,1,1,Number of Participants Meeting the American College of Rheumatology 20 (ACR 20) Response at Week 16,"Summary of ACR-N, Index of Improvement at Week 16",No
TNF,Infliximab,NCT00207766,https://clinicaltrials.gov/study/NCT00207766,Phase 3,Completed,2000-06-01,306,Crohn Disease,1,1,Reduction in the number of draining fistulas,Complete fistula response (no draining fistula).,No
TNF,Infliximab,NCT00213564,https://clinicaltrials.gov/study/NCT00213564,,Completed,2003-04-01,40,Rheumatoid Arthritis,0,0,,,
TNF,Infliximab,NCT00216177,https://clinicaltrials.gov/study/NCT00216177,Phase 4,Unknown,2005-09-01,112,Rheumatoid Arthritis,1,1,Proportion of patients achieving combined good or moderate EULAR responses at week 24,"ACR20/50/70 response at week 2, 6, 12, 18 and 24",No
TNF,Infliximab,NCT00228839,https://clinicaltrials.gov/study/NCT00228839,Phase 1,Completed,,,Graft vs Host Disease,0,0,,,
TNF,Infliximab,NCT00230529,https://clinicaltrials.gov/study/NCT00230529,Phase 2,Completed,,249,Psoriasis,1,1,Proportion of patients achieving a = 75% improvement in PASI score from baseline at week 10,The proportion of patients positive for antibodies to infliximab;The proportion of patients with infusion reactions at week 26;The proportion of infliximab-treated patients with infusion reaction at week 26 by antibodies,No
TNF,Infliximab,NCT00236028,https://clinicaltrials.gov/study/NCT00236028,Phase 3,Completed,,607,Rheumatoid Arthritis,1,1,"Improvement from baseline in clinical signs and symptoms, prevention of structural damage, and prevention of physical disability evaluated at week 54.",Safety assessments throughout the study.,No
TNF,Infliximab,NCT00237419,https://clinicaltrials.gov/study/NCT00237419,N/A,Unknown,2005-12-01,149,Ankylosing Spondylitis,1,7,Degree of structural damage (radiographic progression)after 4 and 6 years of infliximab therapy (2 years of ASSERT trial plus 2 years of EASIC trial),Degree of spinal inflammation analyzed by MRI after discontinuation of infliximab and 4-8 weeks and 2 and 4 years after re-treatment ~ Description of the various treatment regimens after the end of ASSERT of the particip,No
TNF,Infliximab,NCT00237484,https://clinicaltrials.gov/study/NCT00237484,Phase 3,Completed,2005-07-18,89,"Hepatitis C, Chronic",1,2,Proportion of subjects who have achieved sustained virological response (SVR) in the infliximab (induction dose) plus PEGETRON and the PEGETRON groups at 24 weeks post treatment end,Early virological response (EVR) ~ Safety parameters,No
TNF,Infliximab,NCT00244179,https://clinicaltrials.gov/study/NCT00244179,Phase 2,Unknown,2003-01-01,40,Reactive Arthritis,2,10,"change in funcion (WOMAC) ~ change in intensity of pain (VAS pain, scale 0-10)",BASDAI (disease activity index) ~ Patient's global (scale 0-10). ~ Physician's global (scale 0-10). ~ Reduction of NSAIDs ~ change of DNA detection ~ change of cytokine response ~ decrease of CRP/ESR ~ improvement of qua,Yes
TNF,Infliximab,NCT00244192,https://clinicaltrials.gov/study/NCT00244192,Phase 2,Completed,2003-10-01,16,COPD; Cachexia,1,16,Fat-free mass,Major Secondary Efficacy Endpoints in order of importance: ~ Other Secondary Efficacy Endpoints: ~ Other objectives of this trial are to evaluate pharmacokinetics (PK) and pharmacodynamics (PD) in the treatment of patien,Yes
TNF,Infliximab,NCT00246064,https://clinicaltrials.gov/study/NCT00246064,Phase 4,Completed,2001-12-01,210,"Arthritis, Rheumatoid",1,1,The primary efficacy endpoint is the number (%) of patients on a maintenance dose of infliximab who achieve at least 40% improvement from baseline in the combined tender and swollen joint count and tolerate any reduction,"Sustained improvement in signs and symptoms of RA at Week 54, as measured by the percentage improvement from baseline in ACR20 score. Improvement of the ACR20 core set components at Week 54.",No
TNF,Infliximab,NCT00251641,https://clinicaltrials.gov/study/NCT00251641,Phase 3,Completed,2005-09-01,868,Psoriasis,1,3,Psoriasis Area and Severity Index 75 (PASI75) Response at Week 16.,PASI75 Response at Week 26 ~ Proportion of Participants Who Achieved a PGA Score of Cleared or Minimal at Week 26 ~ Proportion of Participants Who Achieved a Physician's Global Assessment (PGA) Score of Cleared or Minima,No
TNF,Infliximab,NCT00252369,https://clinicaltrials.gov/study/NCT00252369,N/A,Terminated,,,Crohn's Disease,1,2,Fistula healing,Complications ~ Quality of life,No
TNF,Infliximab,NCT00254982,https://clinicaltrials.gov/study/NCT00254982,Phase 3,Completed,2005-08-01,593,Psoriasis,1,0,Proportion of Participants Achieving a Greater Than or Equal to 75% Improvement in Psoriasis Area and Severity Index (PASI75) Score,,No
TNF,Infliximab,NCT00261976,https://clinicaltrials.gov/study/NCT00261976,,Completed,2002-02-01,2971,"Arthritis, Rheumatoid; Crohn Disease; Psoriasis",1,2,Number of patients with each of the following long-term safety events,Number of patients with malignancies by malignancy type ~ Number of patients with serious infections by type of infection,No
TNF,Infliximab,NCT00269841,https://clinicaltrials.gov/study/NCT00269841,Phase 3,Completed,1996-05-01,94,Crohn Disease,1,1,Number of patients with 50% or more reduction from baseline in the number of open fistulae at Week 3,Percentage of patients achieving a complete response at week 52,No
TNF,Infliximab,NCT00269854,https://clinicaltrials.gov/study/NCT00269854,Phase 2,Completed,1995-06-01,108,Crohn Disease,1,1,Comparison of the proportion of patients achieving a clinical response at Week 4,"Clinical response over time; Time to loss of response; Clinical remission over time; Changes in CDAI, Inflammatory Bowel Disease Questionnaire (IBDQ) and Crohn's Disease Endoscopic Index of Severity (CDEIS) scores and C-",No
TNF,Infliximab,NCT00269867,https://clinicaltrials.gov/study/NCT00269867,Phase 3,Completed,1997-03-01,428,Rheumatoid Arthritis,1,1,Change from baseline in ACR20 response at week 30; Change in modified van der Heijde-Sharp Score,safety,No
TNF,Infliximab,NCT00271570,https://clinicaltrials.gov/study/NCT00271570,Phase 1,Completed,2004-04-01,24,Kawasaki Disease,2,0,"Area Under the Curve of Infliximab Concentration Before Infliximab Infusion and Then 2 and 24 Hours, 1 Week (5 to 9 Days), 2 Weeks (12 to 16 Days), and 4 Weeks (26 to 30 Days) After Infliximab Infusion) ~ Number of Adver",,No
TNF,Infliximab,NCT00273390,https://clinicaltrials.gov/study/NCT00273390,N/A,Completed,2001-08-01,32,Uveitis,0,0,,,
TNF,Infliximab,NCT00283712,https://clinicaltrials.gov/study/NCT00283712,Phase 2,Completed,2006-03-01,20,Pemphigus,2,13,Participant Response to Treatment at Week 18 ~ Treatment-Related Adverse Events >= Grade 3 On or Before Week 18,Adverse Events Resulting in Treatment Discontinuation ~ Participant Dermatology-Related Quality of Life Changes From Baseline to Week 18 ~ Participant Duration of Clinical Response ~ Participant Health Related Quality of,No
TNF,Infliximab,NCT00304954,https://clinicaltrials.gov/study/NCT00304954,Phase 2,Completed,2006-02-01,13,Age-Related Macular Degeneration; Choroidal Neovascularization,1,2,Monthly Rates of Anti-VEGF (Vascular Endothelial Growth Factor) Injections,Changes in Best-corrected Visual Acuity (BCVA) as Measured by the Standard Early Treatment Diabetic Retinopathy Study (ETDRS) Protocol From Baseline to 24 Weeks ~ Changes in Retinal Thickness as Measured by Optical Coher,No
TNF,Infliximab,NCT00307593,https://clinicaltrials.gov/study/NCT00307593,N/A,Completed,2004-05-01,20,Churg-Strauss Syndrome; Microscopic Polyangiitis; Wegener's Granulomatosis,1,4,Partial or complete remission of the vasculitides,Churg-Strauss syndrome ~ Microscopic polyangiitis ~ To study the safety and adverse effects of both regimens ~ Wegener's granulomatosis,No
